id,code,created_at,updated_at
4,af,"2023-08-24 01:43:15","2023-08-24 01:43:15"
8,al,"2023-08-24 01:43:15","2023-08-24 01:43:15"
10,aq,"2023-08-24 01:43:15","2023-08-24 01:43:15"
12,dz,"2023-08-24 01:43:15","2023-08-24 01:43:15"
16,as,"2023-08-24 01:43:15","2023-08-24 01:43:15"
20,ad,"2023-08-24 01:43:15","2023-08-24 01:43:15"
24,ao,"2023-08-24 01:43:15","2023-08-24 01:43:15"
28,ag,"2023-08-24 01:43:15","2023-08-24 01:43:15"
31,az,"2023-08-24 01:43:15","2023-08-24 01:43:15"
32,ar,"2023-08-24 01:43:15","2023-08-24 01:43:15"
36,au,"2023-08-24 01:43:15","2023-08-24 01:43:15"
40,at,"2023-08-24 01:43:15","2023-08-24 01:43:15"
44,bs,"2023-08-24 01:43:15","2023-08-24 01:43:15"
48,bh,"2023-08-24 01:43:15","2023-08-24 01:43:15"
50,bd,"2023-08-24 01:43:15","2023-08-24 01:43:15"
51,am,"2023-08-24 01:43:15","2023-08-24 01:43:15"
52,bb,"2023-08-24 01:43:16","2023-08-24 01:43:16"
56,be,"2023-08-24 01:43:16","2023-08-24 01:43:16"
60,bm,"2023-08-24 01:43:16","2023-08-24 01:43:16"
64,bt,"2023-08-24 01:43:16","2023-08-24 01:43:16"
68,bo,"2023-08-24 01:43:16","2023-08-24 01:43:16"
70,ba,"2023-08-24 01:43:16","2023-08-24 01:43:16"
72,bw,"2023-08-24 01:43:16","2023-08-24 01:43:16"
74,bv,"2023-08-24 01:43:16","2023-08-24 01:43:16"
76,br,"2023-08-24 01:43:16","2023-08-24 01:43:16"
84,bz,"2023-08-24 01:43:16","2023-08-24 01:43:16"
86,io,"2023-08-24 01:43:16","2023-08-24 01:43:16"
90,sb,"2023-08-24 01:43:20","2023-08-24 01:43:20"
92,vg,"2023-08-24 01:43:21","2023-08-24 01:43:21"
96,bn,"2023-08-24 01:43:16","2023-08-24 01:43:16"
100,bg,"2023-08-24 01:43:16","2023-08-24 01:43:16"
104,mm,"2023-08-24 01:43:19","2023-08-24 01:43:19"
108,bi,"2023-08-24 01:43:16","2023-08-24 01:43:16"
112,by,"2023-08-24 01:43:16","2023-08-24 01:43:16"
116,kh,"2023-08-24 01:43:16","2023-08-24 01:43:16"
120,cm,"2023-08-24 01:43:16","2023-08-24 01:43:16"
124,ca,"2023-08-24 01:43:16","2023-08-24 01:43:16"
132,cv,"2023-08-24 01:43:16","2023-08-24 01:43:16"
136,ky,"2023-08-24 01:43:16","2023-08-24 01:43:16"
140,cf,"2023-08-24 01:43:16","2023-08-24 01:43:16"
144,lk,"2023-08-24 01:43:20","2023-08-24 01:43:20"
148,td,"2023-08-24 01:43:16","2023-08-24 01:43:16"
152,cl,"2023-08-24 01:43:16","2023-08-24 01:43:16"
156,cn,"2023-08-24 01:43:16","2023-08-24 01:43:16"
158,tw,"2023-08-24 01:43:21","2023-08-24 01:43:21"
162,cx,"2023-08-24 01:43:16","2023-08-24 01:43:16"
166,cc,"2023-08-24 01:43:16","2023-08-24 01:43:16"
170,co,"2023-08-24 01:43:16","2023-08-24 01:43:16"
174,km,"2023-08-24 01:43:16","2023-08-24 01:43:16"
175,yt,"2023-08-24 01:43:19","2023-08-24 01:43:19"
178,cg,"2023-08-24 01:43:16","2023-08-24 01:43:16"
180,cd,"2023-08-24 01:43:16","2023-08-24 01:43:16"
184,ck,"2023-08-24 01:43:16","2023-08-24 01:43:16"
188,cr,"2023-08-24 01:43:16","2023-08-24 01:43:16"
191,hr,"2023-08-24 01:43:16","2023-08-24 01:43:16"
192,cu,"2023-08-24 01:43:16","2023-08-24 01:43:16"
